name,address,city,state,zip_code,country,latitude,longitude
KFC 2850 Springhill Ave,2850 Springhill Ave,Mobile,AL,36607,US,30.7018737,-88.1172963
KFC 5109 Moffat Rd,5109 Moffat Rd,Mobile,AL,36618,US,30.7971436,-88.3110189
KFC 5437 Highway 90 W,5437 Highway 90 W,Mobile,AL,36619,US,,
KFC 1955 Coliseum Boulevard,1955 Coliseum Boulevard,Montgomery,AL,36110,US,32.4188411,-86.2687698
KFC 2528 Eastern Boulevard,2528 Eastern Boulevard,Montgomery,AL,36117,US,32.3477035,-86.2228755
KFC 2687 Zelda Road,2687 Zelda Road,Montgomery,AL,36107,US,32.3644485,-86.2674949
KFC 6808 Atlanta Highway,6808 Atlanta Highway,Montgomery,AL,36117,US,32.3825641,-86.1760144
KFC 917 W. South Boulevard,917 W. South Boulevard,Montgomery,AL,36105,US,32.3270713,-86.3078344
"Kentucky Fried Chicken - Moulton, AL - 11884 Highway 157",11884 Highway 157,Moulton,AL,35650,US,34.48802505,-87.2758178
"Kentucky Fried Chicken - Muscle Shoals, AL - 1910 Woodward Avenue",1910 Woodward Avenue,Muscle Shoals,AL,35661,US,34.74348914,-87.66805633
"Kentucky Fried Chicken - Northport, AL - 1901 32nd Street",1901 32nd Street,Northport,AL,35476,US,33.23816066,-87.57713096
"Kentucky Fried Chicken - Opelika, AL - 101 Sixth Street North",101 Sixth Street North,Opelika,AL,36801,US,32.65132484,-85.37784385
"Kentucky Fried Chicken - Oxford, AL - 2024 U. S. Highway 78 East",2024 U. S. Highway 78 East,Oxford,AL,36203,US,33.61419246,-85.78824286
"Kentucky Fried Chicken - Pelham, AL - 630 Cahaba Valley Road",630 Cahaba Valley Road,Pelham,AL,35124,US,33.33493622,-86.78166498
"Kentucky Fried Chicken - Pell City, AL - 703 23rd St N",703 23rd St N,Pell City,AL,35125,US,33.59568503,-86.28357562
KFC 1802 Stadium Drive,1802 Stadium Drive,Phenix City,AL,36867,US,32.4974371,-85.0181109
KFC 601 13th Street,601 13th Street,Phenix City,AL,36867,US,32.4710098,-85.0020228
"Kentucky Fried Chicken - Piedmont, AL - 206 Highway 278 Bypass East",206 Highway 278 Bypass East,Piedmont,AL,36272,US,33.93409564,-85.61061086
"Kentucky Fried Chicken - Prattville, AL - 1913 Cobbs Ford Road",1913 Cobbs Ford Road,Prattville,AL,36066,US,32.46076925,-86.41634373
"Kentucky Fried Chicken - Russellville, AL - 15045 Highway 43",15045 Highway 43,Russellville,AL,35653,US,34.50961318,-87.7179534
"Kentucky Fried Chicken - Saraland, AL - 815 Highway 43 S",815 Highway 43 S,Saraland,AL,36571,US,30.80317152,-88.07239157
"Kentucky Fried Chicken - Scottsboro, AL - 23115 John T. Reid Parkway",23115 John T. Reid Parkway,Scottsboro,AL,35768,US,34.64987207,-86.0284152
"Kentucky Fried Chicken - Selma, AL - 1326 Highland Avenue",1326 Highland Avenue,Selma,AL,36701,US,32.43085106,-87.01612416
"Kentucky Fried Chicken - Springville, AL - 39 Springville Station",39 Springville Station,Springville,AL,35146,US,33.7789819,-86.4305355
"Kentucky Fried Chicken - Sylacauga, AL - 1204 Talladega Highway",1204 Talladega Highway,Sylacauga,AL,35150,US,33.18444097,-86.24546908
"Kentucky Fried Chicken - Talladega, AL - 219 Haynes Street",219 Haynes Street,Talladega,AL,35160,US,33.43714223,-86.08272237
"Kentucky Fried Chicken - Thomasville, AL - 32475 Highway 43 SW",32475 Highway 43 SW,Thomasville,AL,36784,US,31.91385998,-87.74148488
"Kentucky Fried Chicken - Troy, AL - 101 Highway 231 North",101 Highway 231 North,Troy,AL,36081,US,31.79385203,-85.977835
KFC 1101 Lurleen Wallace Boulevard South,1101 Lurleen Wallace Boulevard South,Tuscaloosa,AL,35401,US,,
KFC 1111 Skyland Boulevard,1111 Skyland Boulevard,Tuscaloosa,AL,35405,US,33.1680457,-87.5218564
"Kentucky Fried Chicken - Valley, AL - 3006 20th Avenue",3006 20th Avenue,Valley,AL,36854,US,32.84325248,-85.17996693
"Kentucky Fried Chicken - Wetumpka, AL - 5278 U. S. Highway 231",5278 U. S. Highway 231,Wetumpka,AL,36092,US,32.51789589,-86.21073978
"Kentucky Fried Chicken - Alma, AR - 469 Highway 71 N",469 Highway 71 N,Alma,AR,72921,US,35.49109937,-94.22664061
"Kentucky Fried Chicken - Batesville, AR - 1311 St. Louis Street",1311 St. Louis Street,Batesville,AR,72501,US,35.76643733,-91.64082289
"Kentucky Fried Chicken - Benton, AR - 522 N. East Street",522 N. East Street,Benton,AR,72015,US,34.56828695,-92.58577555
KFC 1618 E Centerton Blvd,1618 E Centerton Blvd,Bentonville,AR,72712,US,36.3578415,-94.2574083
KFC 903 N. Walton Boulevard,903 N. Walton Boulevard,Bentonville,AR,72712,US,36.3818526,-94.2217275
"Kentucky Fried Chicken - Berryville, AR - 930 West Trimble",930 West Trimble,Berryville,AR,72616,US,36.37648697,-93.58388399
"Kentucky Fried Chicken - Blytheville, AR - 901 North 6th Street",901 North 6th Street,Blytheville,AR,72315,US,35.9349685,-89.91053996
"Kentucky Fried Chicken - Booneville, AR - 711 E. Main",711 E. Main,Booneville,AR,72927,US,35.14094606,-93.91204117
"Kentucky Fried Chicken - Bryant, AR - 116 Bryant Avenue",116 Bryant Avenue,Bryant,AR,72022,US,34.62271881,-92.49791904
"Kentucky Fried Chicken - Cabot, AR - 1003 W. Main",1003 W. Main,Cabot,AR,72023,US,34.97596249,-92.02665921
"Kentucky Fried Chicken - Camden, AR - 1440 U.S. Highway 278 West",1440 U.S. Highway 278 West,Camden,AR,71701,US,33.58409024,-92.80453352
"Kentucky Fried Chicken - Clarksville, AR - 1240 South Rogers",1240 South Rogers,Clarksville,AR,72830,US,35.453561,-93.465608
"Kentucky Fried Chicken - Conway, AR - 2670 Donaghey Street",2670 Donaghey Street,Conway,AR,72032,US,35.11178515,-92.44786546
"Kentucky Fried Chicken - De Queen, AR - 603 E. Collin Raye Drive",603 E. Collin Raye Drive,De Queen,AR,71832,US,34.04591111,-94.33125761
"Kentucky Fried Chicken - El Dorado, AR - 433 W. Hillsboro Street",433 W. Hillsboro Street,El Dorado,AR,71730,US,33.20710269,-92.6690274
KFC 1882 W. Martin Luther King Jr. Boulevard,1882 W. Martin Luther King Jr. Boulevard,Fayetteville,AR,72701,US,36.0569498,-94.1864628
KFC 2992 North College Avenue,2992 North College Avenue,Fayetteville,AR,72703,US,36.1061247,-94.1456543
"Kentucky Fried Chicken - Forrest City, AR - 2700 N. Washington Street",2700 N. Washington Street,Forrest City,AR,72335,US,35.02848233,-90.79016869
KFC 1601 Highway 71,1601 Highway 71,Fort Smith,AR,72901,US,35.3274605,-94.4096205
KFC 4207 Grand Avenue,4207 Grand Avenue,Fort Smith,AR,72904,US,35.3856859,-94.3852928
"Kentucky Fried Chicken - Greenwood, AR - 820 West Center",820 West Center,Greenwood,AR,72936,US,35.21692945,-94.26964964
"Kentucky Fried Chicken - Harrison, AR - 1424 Highway 65 N",1424 Highway 65 N,Harrison,AR,72601,US,35.57482481,-92.45239407
"Kentucky Fried Chicken - Highland, AR - 2291 Highway 62 412",2291 Highway 62 412,Highland,AR,72542,US,36.26716549,-91.51570597
"Kentucky Fried Chicken - Hope, AR - 2017 North Hazel",2017 North Hazel,Hope,AR,71801,US,33.68773219,-93.59638067
"Kentucky Fried Chicken - Hot Springs, AR - 4010 Central Avenue",4010 Central Avenue,Hot Springs,AR,71913,US,34.45613255,-93.06399933
KFC 133 Southwest Drive,133 Southwest Drive,Jonesboro,AR,72401,US,35.8155143,-90.7119031
KFC 2003 West Parker Road,2003 West Parker Road,Jonesboro,AR,72404,US,35.8243886,-90.7420604
KFC 2020 South Caraway Road,2020 South Caraway Road,Jonesboro,AR,72401,US,35.8201497,-90.6774241
KFC 3021 Dr Martin Luther King Jr Dr,3021 Dr Martin Luther King Jr Dr,Jonesboro,AR,72401,US,35.8060118,-90.6247002
KFC 100 Markham Park Drive,100 Markham Park Drive,Little Rock,AR,72211,US,34.7543029,-92.4043878
KFC 8220 Geyer Springs Road,8220 Geyer Springs Road,Little Rock,AR,72209,US,34.6752149,-92.3440758
KFC 3050 Service Road I-55,3050 Service Road I-55,Marion,AR,72364,US,,
KFC 3210 I-55 Service Road,3210 I-55 Service Road,Marion,AR,72364,US,35.1830045,-90.1970762
"Kentucky Fried Chicken - Mena, AR - 403 Highway 71 N",403 Highway 71 N,Mena,AR,71953,US,34.58576896,-94.22787962
"Kentucky Fried Chicken - North Little Rock, AR - 4400 Camp Robinson",4400 Camp Robinson,North Little Rock,AR,72118,US,34.79480035,-92.27097335
"Kentucky Fried Chicken - Osceola, AR - 1001 W. Keiser",1001 W. Keiser,Osceola,AR,72370,US,35.69708888,-89.98339647
"Kentucky Fried Chicken - Paragould, AR - 2401 W. Kings Highway",2401 W. Kings Highway,Paragould,AR,72450,US,36.05994,-90.51739
"Kentucky Fried Chicken - Pine Bluff, AR - 3002 Pines Mall Drive",3002 Pines Mall Drive,Pine Bluff,AR,71601,US,34.20795094,-91.97018262
"Kentucky Fried Chicken - Pocahontas, AR - 1052 Highway 62 West",1052 Highway 62 West,Pocahontas,AR,72455,US,36.254802,-90.974021
"Kentucky Fried Chicken - Rogers, AR - 507 S. Eighth Street",507 S. Eighth Street,Rogers,AR,72756,US,36.32910426,-94.12537607
"Kentucky Fried Chicken - Russellville, AR - 720 N. Arkansas Avenue",720 N. Arkansas Avenue,Russellville,AR,72801,US,35.28521728,-93.13299799
"Kentucky Fried Chicken - Searcy, AR - 2504 E. Race Street",2504 E. Race Street,Searcy,AR,72143,US,35.25094657,-91.70731641
"Kentucky Fried Chicken - Siloam Springs, AR - 1115 U.S. Highway 412 W",1115 U.S. Highway 412 W,Siloam Springs,AR,72761,US,36.17575697,-94.55283247
KFC 5660 West Sunset Avenue,5660 West Sunset Avenue,Springdale,AR,72762,US,36.1761914,-94.1930865
KFC 600 South Thompson Street,600 South Thompson Street,Springdale,AR,72764,US,36.1797817,-94.1394281
"Kentucky Fried Chicken - Texarkana, AR - 4010 North State Line Road",4010 North State Line Road,Texarkana,AR,71854,US,33.46209753,-94.04263053
"Kentucky Fried Chicken - Trumann, AR - 504 Hwy. 63 &amp;amp; Speedway",504 Hwy. 63 & Speedway,Trumann,AR,72472,US,35.67932291,-90.52422201
"Kentucky Fried Chicken - Walnut Ridge, AR - 401 N.W. 4th Street",401 N.W. 4th Street,Walnut Ridge,AR,72476,US,36.07262246,-90.95591117
"Kentucky Fried Chicken - Warren, AR - 325 S Main Street",325 S Main Street,Warren,AR,71671,US,33.60996376,-92.06410245
"Kentucky Fried Chicken - West Helena, AR - 789 N. Sebastian",789 N. Sebastian,West Helena,AR,72390,US,34.55412582,-90.65524006
KFC 400 N. Missouri St,400 N. Missouri St,West Memphis,AR,72301,US,35.1506545,-90.1851601
KFC 900 Martin Luther King Dr,900 Martin Luther King Dr,West Memphis,AR,72301,US,35.1546082,-90.1378249
"Kentucky Fried Chicken - Wynne, AR - 1913 N. Falls",1913 N. Falls,Wynne,AR,72396,US,35.2479311,-90.78206163
"Kentucky Fried Chicken - Apache Junction, AZ - 3051 W Apache Trail",3051 W Apache Trail,Apache Junction,AZ,85120,US,33.41467085,-111.57880376
"Kentucky Fried Chicken - Ash Fork, AZ - 950 W Old Highway 66",950 W Old Highway 66,Ash Fork,AZ,86320,US,35.2227477,-112.4974837
"Kentucky Fried Chicken - Avondale, AZ - 1470 N Dysart Rd",1470 N Dysart Rd,Avondale,AZ,85323,US,33.44931717,-112.3415781
"Kentucky Fried Chicken - Benson, AZ - 650 South Highway 90",650 South Highway 90,Benson,AZ,85602,US,31.96170969,-110.34618858
"Kentucky Fried Chicken - Buckeye, AZ - 682 S. Watson Rd",682 S. Watson Rd,Buckeye,AZ,85326,US,33.44071,-112.556964
"Kentucky Fried Chicken - Bullhead City, AZ - 2350 Miracle Mile ,Suite 550",2350 Miracle Mile Suite 550,Bullhead City,AZ,86442,US,35.09973598,-114.5958485
"Kentucky Fried Chicken - Casa Grande, AZ - 618 E. Florence",618 E. Florence,Casa Grande,AZ,85122,US,32.87992549,-111.74578959
"Kentucky Fried Chicken - Chino Valley, AZ - 1147 N Hwy 89",1147 N Hwy 89,Chino Valley,AZ,86323,US,34.76177491,-112.45305905
"Kentucky Fried Chicken - Coolidge, AZ - 1505 N. Arizona Boulevard",1505 N. Arizona Boulevard,Coolidge,AZ,85128,US,32.99618608,-111.52324172
"Kentucky Fried Chicken - Cottonwood, AZ - 970 S. Main",970 S. Main,Cottonwood,AZ,86326,US,34.72208812,-112.00446778
"Kentucky Fried Chicken - Douglas, AZ - 101 W Fifth Street",101 W Fifth Street,Douglas,AZ,85607,US,31.33896374,-109.56057661
KFC 117 South Val Vista Drive,117 South Val Vista Drive,Gilbert,AZ,85296,US,33.3481641,-111.755075
KFC 2453 South Gilbert Road,2453 South Gilbert Road,Gilbert,AZ,85295,US,33.305538,-111.7890763
KFC 4338 W Glendale Ave,4338 W Glendale Ave,Glendale,AZ,85301,US,33.5387482,-112.153144
KFC 6708 W. Deer Valley Road,6708 W. Deer Valley Road,Glendale,AZ,85310,US,33.6823245,-112.203624
KFC 6708 W. Deer Valley Road,6708 W. Deer Valley Road,Glendale,AZ,85310,US,33.6823245,-112.203624
"Kentucky Fried Chicken - Goodyear, AZ - 16980 W. Yuma Road",16980 W. Yuma Road,Goodyear,AZ,85338,US,33.4361265,-112.4243808
"Kentucky Fried Chicken - Green Valley, AZ - 280 W. Continental Road",280 W. Continental Road,Green Valley,AZ,85622,US,31.85227321,-110.99756738
KFC 2302 Hualapai Mountain Road,2302 Hualapai Mountain Road,Kingman,AZ,86401,US,35.1915871,-114.0242772
KFC 3350 N. Stockton Hill,3350 N. Stockton Hill,Kingman,AZ,86409,US,,
"Kentucky Fried Chicken - Lake Havasu City, AZ - 195 North Lake Havasu Avenue",195 North Lake Havasu Avenue,Lake Havasu City,AZ,86403,US,34.47942009,-114.34832722
"Kentucky Fried Chicken - Lakeside, AZ - 44 E. White Mountain Road",44 E. White Mountain Road,Lakeside,AZ,85929,US,34.14144134,-109.95382833
"Kentucky Fried Chicken - Laveen, AZ - 5145 W. Baseline Road",5145 W. Baseline Road,Laveen,AZ,85339,US,33.37693069,-112.17004961
"Kentucky Fried Chicken - Litchfield Park, AZ - 13006 W Indian School Road",13006 W Indian School Road,Litchfield Park,AZ,85340,US,33.4938695,-112.3396278
KFC 3225 East Rincon Road,3225 East Rincon Road,Littlefield,AZ,86432,US,,
KFC 3225 Rincon Road,3225 Rincon Road,Littlefield,AZ,86432,US,36.8870187,-113.9397029
"Kentucky Fried Chicken - Maricopa, AZ - 21566 N. John Wayne Parkway",21566 N. John Wayne Parkway,Maricopa,AZ,85139,US,33.07464107,-112.04380075
KFC 10720 E Baseline Road,10720 E Baseline Road,Mesa,AZ,85209,US,33.3794633,-111.603382
KFC 1950 W Baseline Rd,1950 W Baseline Rd,Mesa,AZ,85202,US,33.3789474,-111.8763746
KFC 2210 E Baseline Rd,2210 E Baseline Rd,Mesa,AZ,85204,US,33.3794235,-111.7850205
KFC 239 N Power Rd,239 N Power Rd,Mesa,AZ,85207,US,33.4209445,-111.6843916
KFC 420 North Alma School Rd,420 North Alma School Rd,Mesa,AZ,85201,US,33.4231245,-111.85702
KFC 6837 E Main Street,6837 E Main Street,Mesa,AZ,85207,US,33.415559,-111.6826128
"Kentucky Fried Chicken - Nogales, AZ - 360 W. Mariposa Road",360 W. Mariposa Road,Nogales,AZ,85621,US,31.36627315,-110.93729155
"Kentucky Fried Chicken - Page, AZ - 1004 Haul Road",1004 Haul Road,Page,AZ,86040,US,36.9057,-111.484617
KFC 6765 W Peoria Ave,6765 W Peoria Ave,Peoria,AZ,85345,US,33.5813416,-112.204694
KFC 7541 W Thunderbird Road,7541 W Thunderbird Road,Peoria,AZ,85381,US,33.6097,-112.2212606
KFC 7685 W Thunderbird rd,7685 W Thunderbird rd,Peoria,AZ,85381,US,33.6101757,-112.2241413
KFC 9039 W Olive Avenue,9039 W Olive Avenue,Peoria,AZ,85345,US,33.5659629,-112.253321
KFC 1525 N 43rd Ave,1525 N 43rd Ave,Phoenix,AZ,85009,US,33.4652303,-112.1514627
KFC 1749 W. Bethany Home Rd,1749 W. Bethany Home Rd,Phoenix,AZ,85015,US,33.5236924,-112.097295
KFC 1843 West Union Hills Dr,1843 West Union Hills Dr,Phoenix,AZ,85027,US,33.6546389,-112.0985539
KFC 20 E Baseline Road,20 E Baseline Road,Phoenix,AZ,85042,US,33.3781906,-112.0729682
KFC 2750 S 75th Ave,2750 S 75th Ave,Phoenix,AZ,85043,US,33.4239808,-112.2217699
KFC 2902 N 7th Ave,2902 N 7th Ave,Phoenix,AZ,85013,US,33.480541,-112.0831126
KFC 3550 W Thunderbird Rd,3550 W Thunderbird Rd,Phoenix,AZ,85053,US,33.6112468,-112.1356061
KFC 3702 E Thomas Rd,3702 E Thomas Rd,Phoenix,AZ,85018,US,33.4808057,-112.0017743
KFC 3914 East Chandler Blvd,3914 East Chandler Blvd,Phoenix,AZ,85048,US,33.3056643,-111.9995967
KFC 4050 East Bell Road,4050 East Bell Road,Phoenix,AZ,85032,US,33.6412121,-111.9935939
KFC 7634 W Indian School Rd,7634 W Indian School Rd,Phoenix,AZ,85033,US,33.4949465,-112.2251629
"Kentucky Fried Chicken - Queen Creek, AZ - 57 W. Combs Road",57 W. Combs Road,Queen Creek,AZ,85140,US,33.21937068,-111.56419601
"Kentucky Fried Chicken - Safford, AZ - 1817 Thatcher Boulevard",1817 Thatcher Boulevard,Safford,AZ,85546,US,32.83484377,-109.73072129
"Kentucky Fried Chicken - Scottsdale, AZ - 8050 E Indian School Rd",8050 E Indian School Rd,Scottsdale,AZ,85251,US,33.49522359,-111.9068491
"Kentucky Fried Chicken - Show Low, AZ - 180 N. White Mountain Road",180 N. White Mountain Road,Show Low,AZ,85901,US,34.2513409,-110.02893814
"Kentucky Fried Chicken - Sierra Vista, AZ - 1060 Fry Boulevard",1060 Fry Boulevard,Sierra Vista,AZ,85635,US,31.55417379,-110.28772399
KFC 12621 W Bell Rd,12621 W Bell Rd,Surprise,AZ,85378,US,33.6381369,-112.332658
KFC 15154 N. Cotton Lane,15154 N. Cotton Lane,Surprise,AZ,85388,US,33.6223082,-112.427574
KFC 15504 W Bell Road,15504 W Bell Road,Surprise,AZ,85374,US,33.6392843,-112.3958976
"Kentucky Fried Chicken - Tempe, AZ - 705 W Baseline Rd",705 W Baseline Rd,Tempe,AZ,85283,US,33.37777432,-111.94992803
KFC 10005 W Van Buren St,10005 W Van Buren St,Tolleson,AZ,85323,US,33.4500273,-112.2854818
KFC 10005 West Van Buren Street,10005 West Van Buren Street,Tolleson,AZ,85353,US,33.4506915,-112.2516207
"Kentucky Fried Chicken - Tuba City, AZ - Maloney And Spur",Maloney And Spur,Tuba City,AZ,86045,US,36.12367385,-111.23521838
KFC 2970 W Valencia Rd,2970 W Valencia Rd,Tucson,AZ,85746,US,32.1341447,-111.0304762
KFC 2980 W Ina Rd,2980 W Ina Rd,Tucson,AZ,85741,US,32.3378014,-111.031909
KFC 2985 South Kino Parkway,2985 South Kino Parkway,Tucson,AZ,85713,US,32.1881176,-110.9448641
KFC 3344 N Oracle Road,3344 N Oracle Road,Tucson,AZ,85705,US,32.2670975,-110.977866
KFC 5010 S. Campbell Avenue,5010 S. Campbell Avenue,Tucson,AZ,85706,US,32.1612058,-110.9438412
KFC 6872 E Tanque Verde Road,6872 E Tanque Verde Road,Tucson,AZ,85715,US,32.25471,-110.8221427
KFC 7245 E. Golf Links Road,7245 E. Golf Links Road,Tucson,AZ,85730,US,32.1920423,-110.8386108
KFC 7901 N. Oracle Hwy,7901 N. Oracle Hwy,Tucson,AZ,85704,US,32.3498931,-110.9759012
KFC 8270 N. Cortaro Road,8270 N. Cortaro Road,Tucson,AZ,85743,US,32.357045,-111.0912264
"Kentucky Fried Chicken - Williams, AZ - 800 N. Grand Canyon Boulevard",800 N. Grand Canyon Boulevard,Williams,AZ,86046,US,35.25747472,-112.19123576
KFC 11183 S. Frontage Drive,11183 S. Frontage Drive,Yuma,AZ,85367,US,,
KFC 1950 Fourth Avenue,1950 Fourth Avenue,Yuma,AZ,85364,US,32.6605593,-114.6225041
KFC 848 East 32nd Street,848 East 32nd Street,Yuma,AZ,85365,US,32.6698277,-114.6107963
"Kentucky Fried Chicken - Adelanto, CA - 14258 Highway 395",14258 Highway 395,Adelanto,CA,92301,US,34.50965561,-117.39994655
"Kentucky Fried Chicken - Alameda, CA - 2424 Encinal Avenue",2424 Encinal Avenue,Alameda,CA,94501,US,37.76191399,-122.24374158
"Kentucky Fried Chicken - Alhambra, CA - 1425 South New",1425 South New,Alhambra,CA,91801,US,34.07834934,-118.10855666
KFC 100 S. Magnolia Ave,100 S. Magnolia Ave,Anaheim,CA,92804,US,33.8527547,-117.9761266
KFC 131 W. Ball Rd,131 W. Ball Rd,Anaheim,CA,92805,US,33.8184165,-117.9096728
KFC 299 S. Euclid St,299 S. Euclid St,Anaheim,CA,92802,US,33.828985,-117.941577
"Kentucky Fried Chicken - Antelope, CA - 8101 Watt Avenue",8101 Watt Avenue,Antelope,CA,95843,US,38.71639646,-121.39278799
KFC 2410 Mahogany Way,2410 Mahogany Way,Antioch,CA,94509,US,38.003017,-121.8305629
KFC 2751 Hillcrest Avenue,2751 Hillcrest Avenue,Antioch,CA,94509,US,37.9927219,-121.7834797
